Profit,Date
-180.28434622496476,2020-11-05 08:00:00
-178.4815027627151,2020-11-06 16:00:00
-176.69668773508795,2020-11-09 08:00:00
-174.92972085773704,2020-11-09 20:00:00
519.5412709474791,2020-11-10 16:00:00
-178.37583635863447,2020-11-12 00:00:00
-176.59207799504813,2020-11-13 08:00:00
-174.82615721509768,2020-11-17 00:00:00
-173.0778956429467,2020-11-18 00:00:00
-171.3471166865172,2020-11-19 16:00:00
508.9009365589561,2020-11-24 00:00:00
-174.7226548852416,2020-11-25 00:00:00
-172.9754283363892,2020-11-25 08:00:00
-171.24567405302528,2020-11-26 00:00:00
-169.53321731249503,2020-11-26 16:00:00
-167.8378851393701,2020-11-30 00:00:00
498.47851886392914,2020-12-03 16:00:00
-171.14429147661562,2020-12-11 00:00:00
-169.4328485618495,2020-12-11 08:00:00
503.215560228693,2020-12-14 00:00:00
-172.77067567851796,2020-12-16 04:00:00
513.1289067651983,2020-12-17 00:00:00
-176.17425798938476,2020-12-17 20:00:00
523.2375462284728,2020-12-21 00:00:00
-179.64489087177566,2020-12-21 08:00:00
533.5453258891737,2020-12-22 00:00:00
-183.1838952219496,2020-12-22 16:00:00
-181.35205626973013,2020-12-28 04:00:00
-179.5385357070328,2020-12-29 16:00:00
-177.74315034996246,2020-12-31 00:00:00
300.0,2021-01-06 00:00:00
309.0,2021-01-08 00:00:00
-106.09,2021-01-12 20:00:00
-105.0291,2021-01-14 00:00:00
-103.978809,2021-01-15 00:00:00
-102.93902091,2021-01-18 00:00:00
-101.90963070089998,2021-01-18 16:00:00
302.67160318167305,2021-01-20 00:00:00
-103.91725042570772,2021-01-21 04:00:00
308.6342337643519,2021-01-22 00:00:00
-105.96442025909417,2021-01-22 08:00:00
-104.90477605650324,2021-01-22 20:00:00
-103.8557282959382,2021-02-01 00:00:00
308.4515130389365,2021-02-02 08:00:00
-105.90168614336821,2021-02-04 00:00:00
314.5280078458036,2021-02-05 00:00:00
323.96384808117773,2021-02-08 00:00:00
-111.22758784120434,2021-02-10 08:00:00
330.3459358883769,2021-02-15 00:00:00
-113.41877132167606,2021-02-15 08:00:00
336.8537508253779,2021-02-16 00:00:00
-115.65312111671308,2021-02-17 20:00:00
-114.49658990554596,2021-02-19 00:00:00
340.0548720194715,2021-02-22 00:00:00
-116.7521727266852,2021-02-23 08:00:00
-115.58465099941836,2021-02-23 20:00:00
343.2864134682725,2021-02-26 00:00:00
-117.8616686241069,2021-03-02 08:00:00
-116.68305193786583,2021-03-05 00:00:00
346.54866425546146,2021-03-09 00:00:00
-118.98170806104177,2021-03-15 08:00:00
353.37567294129406,2021-03-16 00:00:00
-121.3256477098443,2021-03-16 08:00:00
-120.11239123274586,2021-03-17 00:00:00
-118.91126732041842,2021-03-18 00:00:00
-117.72215464721423,2021-03-19 00:00:00
349.63479930222627,2021-03-22 00:00:00
360.1238432812931,2021-03-23 00:00:00
-123.6425195265773,2021-03-23 16:00:00
367.21828299393457,2021-03-25 00:00:00
378.2348314837526,2021-03-26 00:00:00
-129.8606254760884,2021-03-29 00:00:00
-128.5620192213275,2021-03-29 20:00:00
381.8291970873426,2021-03-31 00:00:00
393.2840729999629,2021-04-01 00:00:00
-135.0275317299873,2021-04-05 00:00:00
-133.6772564126874,2021-04-06 00:00:00
397.0214515456816,2021-04-08 00:00:00
-136.31069836401733,2021-04-09 00:00:00
404.84277414113143,2021-04-12 00:00:00
416.9880573653654,2021-04-13 00:00:00
429.4976990863264,2021-04-14 00:00:00
-147.4608766863054,2021-04-16 00:00:00
-145.98626791944235,2021-04-16 20:00:00
-144.52640524024793,2021-04-20 00:00:00
-143.08114118784545,2021-04-21 00:00:00
-141.65032977596698,2021-04-21 20:00:00
-140.23382647820733,2021-04-26 00:00:00
416.4944646402758,2021-04-27 00:00:00
428.98929857948406,2021-04-28 00:00:00
-147.28632584562286,2021-04-28 20:00:00
437.44038776149984,2021-04-29 08:00:00
-150.18786646478162,2021-04-30 00:00:00
446.0579634004014,2021-05-03 00:00:00
-153.1465674341378,2021-05-04 00:00:00
-151.61510175979643,2021-05-04 16:00:00
-150.09895074219847,2021-05-07 00:00:00
445.79388370432946,2021-05-10 00:00:00
-153.0559000718198,2021-05-10 08:00:00
-151.52534107110156,2021-05-10 20:00:00
-150.01008766039055,2021-05-12 00:00:00
445.52996035136005,2021-05-12 20:00:00
-152.96528638730027,2021-05-14 00:00:00
-151.43563352342727,2021-05-18 00:00:00
449.76383156457894,2021-05-18 12:00:00
