Time	Open	High	Low	Close	Volume	Spread
2010-03-21 20:00:00	90.495	90.52	90.425	90.44	4733	26
2010-03-22 00:00:00	90.44	90.525	90.41	90.47	25117	10
2010-03-22 04:00:00	90.475	90.77	90.44	90.56	39628	13
2010-03-22 08:00:00	90.56	90.625	90.46	90.5	71630	9
2010-03-22 12:00:00	90.5	90.57	89.83	90.02	137695	10
2010-03-22 16:00:00	90.02	90.2	89.95	90.15	64243	11
2010-03-22 20:00:00	90.15	90.38	90.055	90.32	19713	8
2010-03-23 00:00:00	90.32	90.37	90.245	90.305	55590	11
2010-03-23 04:00:00	90.305	90.35	90.125	90.17	48968	6
2010-03-23 08:00:00	90.17	90.465	90.15	90.33	92600	9
2010-03-23 12:00:00	90.33	90.465	90.19	90.24	100075	9
2010-03-23 16:00:00	90.245	90.44	90.19	90.4	69917	10
2010-03-23 20:00:00	90.4	90.455	90.345	90.41	14564	10
2010-03-24 00:00:00	90.41	90.57	90.38	90.475	51243	9
2010-03-24 04:00:00	90.47	90.655	90.47	90.635	56645	11
2010-03-24 08:00:00	90.64	91.4	90.615	91.39	116088	11
2010-03-24 12:00:00	91.39	91.965	91.33	91.895	144311	10
2010-03-24 16:00:00	91.89	92.23	91.87	92.155	99646	12
2010-03-24 20:00:00	92.16	92.4	92.005	92.015	24511	12
2010-03-25 00:00:00	92.015	92.03	91.76	91.785	61644	10
2010-03-25 04:00:00	91.785	92.15	91.77	91.89	68514	8
2010-03-25 08:00:00	91.89	92.13	91.795	92.07	85502	10
2010-03-25 12:00:00	92.065	92.71	91.98	92.69	109323	10
2010-03-25 16:00:00	92.69	92.95	92.535	92.7	88009	10
2010-03-25 20:00:00	92.7	92.775	92.515	92.52	16493	11
2010-03-26 00:00:00	92.52	92.57	92.39	92.48	59464	8
2010-03-26 04:00:00	92.48	92.69	92.46	92.65	62288	8
2010-03-26 08:00:00	92.65	92.675	92.3	92.65	78315	9
2010-03-26 12:00:00	92.65	92.89	92.41	92.56	95421	8
2010-03-26 16:00:00	92.56	92.635	92.39	92.51	58938	14
2010-03-26 20:00:00	92.515	92.55	92.47	92.49	3072	8
2010-03-28 20:00:00	92.44	92.48	92.32	92.4	10525	23
2010-03-29 00:00:00	92.4	92.705	92.35	92.675	72626	8
2010-03-29 04:00:00	92.675	92.78	92.555	92.635	95783	9
2010-03-29 08:00:00	92.635	92.65	92.42	92.555	99840	10
2010-03-29 12:00:00	92.55	92.7	92.45	92.65	128094	9
2010-03-29 16:00:00	92.65	92.7	92.455	92.46	57719	10
2010-03-29 20:00:00	92.465	92.545	92.385	92.415	16023	9
2010-03-30 00:00:00	92.415	92.42	92.12	92.18	81053	11
2010-03-30 04:00:00	92.18	92.72	92.18	92.52	110361	10
2010-03-30 08:00:00	92.515	92.6	92.425	92.545	98452	12
2010-03-30 12:00:00	92.545	93.02	92.515	92.895	117652	9
2010-03-30 16:00:00	92.895	92.895	92.76	92.79	61632	10
2010-03-30 20:00:00	92.79	92.99	92.745	92.93	29064	11
2010-03-31 00:00:00	92.93	93.5	92.805	93.465	89835	10
2010-03-31 04:00:00	93.465	93.6	93.125	93.27	93476	9
2010-03-31 08:00:00	93.27	93.47	93.155	93.41	110978	11
2010-03-31 12:00:00	93.415	93.635	92.845	93.405	147970	8
2010-03-31 16:00:00	93.405	93.53	93.325	93.485	75381	11
2010-03-31 20:00:00	93.485	93.64	93.425	93.52	27150	10
2010-04-01 00:00:00	93.52	93.52	93.28	93.405	84346	8
2010-04-01 04:00:00	93.405	93.73	93.375	93.6	85469	8
2010-04-01 08:00:00	93.6	93.755	93.315	93.71	99038	13
2010-04-01 12:00:00	93.71	94.04	93.64	93.83	106437	10
2010-04-01 16:00:00	93.825	93.94	93.735	93.88	57795	10
2010-04-01 20:00:00	93.88	93.89	93.715	93.73	13810	9
2010-04-02 00:00:00	93.73	93.835	93.675	93.755	48235	9
2010-04-02 04:00:00	93.755	94.055	93.715	93.935	34329	6
2010-04-02 08:00:00	93.935	94.04	93.815	93.985	21859	10
2010-04-02 12:00:00	93.98	94.69	93.555	94.505	78637	9
2010-04-02 16:00:00	94.505	94.62	94.485	94.545	14694	13
2010-04-02 20:00:00	94.55	94.605	94.515	94.605	1450	21
2010-04-04 20:00:00	94.65	94.775	94.525	94.53	11895	54
2010-04-05 00:00:00	94.515	94.525	94.315	94.38	34116	9
2010-04-05 04:00:00	94.38	94.59	94.37	94.55	48352	10
2010-04-05 08:00:00	94.55	94.55	94.4	94.49	33035	10
2010-04-05 12:00:00	94.49	94.51	94.265	94.28	78666	12
2010-04-05 16:00:00	94.28	94.37	94.08	94.305	36839	9
2010-04-05 20:00:00	94.305	94.395	94.27	94.28	18416	16
2010-04-06 00:00:00	94.28	94.285	94.03	94.04	76097	9
2010-04-06 04:00:00	94.04	94.115	93.77	93.85	106539	12
2010-04-06 08:00:00	93.85	94.01	93.775	93.95	101171	8
2010-04-06 12:00:00	93.95	94.09	93.78	93.815	117265	8
2010-04-06 16:00:00	93.815	93.955	93.655	93.705	68977	9
2010-04-06 20:00:00	93.705	93.835	93.555	93.62	25721	14
2010-04-07 00:00:00	93.62	94.265	93.62	94.065	82335	9
2010-04-07 04:00:00	94.065	94.25	93.765	93.855	91029	11
2010-04-07 08:00:00	93.86	94.03	93.575	93.7	96053	9
2010-04-07 12:00:00	93.7	93.84	93.485	93.595	115558	9
2010-04-07 16:00:00	93.6	93.61	93.145	93.295	97585	10
2010-04-07 20:00:00	93.295	93.38	93.19	93.2	33469	7
2010-04-08 00:00:00	93.205	93.43	93.165	93.22	62530	8
2010-04-08 04:00:00	93.225	93.38	93.06	93.11	77390	10
2010-04-08 08:00:00	93.11	93.155	92.825	92.945	100070	9
2010-04-08 12:00:00	92.95	93.29	92.895	93.16	96387	9
2010-04-08 16:00:00	93.16	93.48	93.15	93.355	73936	9
2010-04-08 20:00:00	93.355	93.52	93.335	93.415	20283	10
2010-04-09 00:00:00	93.415	93.62	93.395	93.58	57774	9
2010-04-09 04:00:00	93.58	93.725	93.485	93.5	76649	8
2010-04-09 08:00:00	93.5	93.78	93.5	93.655	81925	10
2010-04-09 12:00:00	93.655	93.76	93.105	93.28	109666	10
2010-04-09 16:00:00	93.28	93.29	93.155	93.17	61430	10
2010-04-09 20:00:00	93.17	93.23	93.125	93.16	3258	11
2010-04-11 20:00:00	92.93	93.26	92.885	93.085	21606	67
2010-04-12 00:00:00	93.08	93.31	93.045	93.11	83649	9
2010-04-12 04:00:00	93.11	93.485	93.05	93.455	102558	11
2010-04-12 08:00:00	93.455	93.605	93.345	93.53	117972	10
2010-04-12 12:00:00	93.53	93.53	93.14	93.21	122846	10
2010-04-12 16:00:00	93.21	93.31	93.15	93.25	69715	8
2010-04-12 20:00:00	93.25	93.27	93.15	93.2	19490	10
2010-04-13 00:00:00	93.2	93.205	92.57	92.615	102575	9
2010-04-13 04:00:00	92.615	93.41	92.605	93.24	103481	13
2010-04-13 08:00:00	93.24	93.25	92.95	93.05	108863	9
2010-04-13 12:00:00	93.05	93.34	92.62	93.165	137597	8
2010-04-13 16:00:00	93.165	93.24	93.09	93.16	63368	10
2010-04-13 20:00:00	93.16	93.29	93.13	93.225	27237	10
2010-04-14 00:00:00	93.225	93.355	93.185	93.19	89167	9
2010-04-14 04:00:00	93.195	93.5	93.185	93.47	104012	13
2010-04-14 08:00:00	93.465	93.625	93.415	93.52	118513	10
2010-04-14 12:00:00	93.515	93.725	92.825	93.015	137714	10
2010-04-14 16:00:00	93.015	93.215	92.995	93.185	73769	11
2010-04-14 20:00:00	93.185	93.365	93.165	93.3	28174	9
2010-04-15 00:00:00	93.3	93.52	93.285	93.405	66533	9
2010-04-15 04:00:00	93.405	93.425	93.01	93.14	96844	9
2010-04-15 08:00:00	93.14	93.2	92.9	93.17	114103	10
